amount,currency,transaction_type,merchant_category,account_type,location,timestamp,is_fraudulent,credit_score,income_level
621.5364037807839,GBP,Transfer,Retail,Credit,"Chelseaside, Washington",2024-12-13 01:40:51,False,849.1695410106369,Very High
9621.897185266034,USD,Transfer,Restaurant,Savings,"Port Christina, Arizona",2024-11-03 21:27:43,False,738.7668263186948,Very High
1034.3056556703846,EUR,Purchase,Education,Credit,"South Kennethstad, Pennsylvania",2025-07-18 02:19:24,False,742.7771686487439,Very High
2295.152597373097,GBP,Fee,Healthcare,Checking,"Youngland, Illinois",2025-08-20 21:38:43,False,607.3210748726823,Low
3873.5365160887955,GBP,Payment,Education,Savings,"West Jasmineton, Oklahoma",2024-11-23 13:31:32,False,442.9222829349426,Medium
3658.9906048293046,USD,Deposit,Travel,Checking,"East Davidfort, Alabama",2024-09-24 14:57:19,False,598.554474497982,Low
2410.7746175594634,USD,Withdrawal,Healthcare,Savings,"Port Lindatown, Illinois",2025-06-27 10:48:13,False,332.3827669362236,Low
2870.296701179924,GBP,Withdrawal,Retail,Investment,"New Carmen, Mississippi",2025-04-02 00:18:44,True,660.2621712043245,Low
6246.703942243464,GBP,Withdrawal,Gas Station,Savings,"East Kevin, Texas",2024-11-17 13:59:55,False,833.579747311173,Medium
4509.350036486762,USD,Transfer,Entertainment,Savings,"Shawmouth, Nevada",2025-05-09 21:41:18,False,438.13705053191296,High
5187.915276988506,EUR,Purchase,Gas Station,Checking,"South Williefort, Kentucky",2025-07-10 12:32:05,False,471.35164271820696,Very High
3984.206835365242,EUR,Transfer,Healthcare,Savings,"New Sheila, New York",2025-02-21 19:46:36,False,802.6002028316926,High
9914.34137885111,EUR,Refund,Entertainment,Checking,"South Samueltown, Pennsylvania",2025-05-17 13:09:01,False,453.52897765452377,Very High
2064.120589944184,GBP,Payment,Travel,Checking,"South Kimberlystad, Michigan",2025-01-20 23:12:20,False,778.4820790953901,Very High
6915.864067723973,EUR,Purchase,Entertainment,Checking,"Karaview, Alabama",2024-10-18 03:01:02,False,402.99058874024445,High
8106.990346086447,EUR,Purchase,Retail,Credit,"Haneyport, Michigan",2025-01-12 02:06:03,False,679.0110359850296,Very High
9100.46889399644,JPY,Withdrawal,Gas Station,Credit,"Jonesshire, Delaware",2024-11-05 23:08:03,True,330.50193756686735,Medium
310.382986028587,GBP,Payment,Education,Checking,"North Michaelbury, Texas",2025-02-25 16:55:16,False,574.0145187830728,Medium
5594.263525959627,JPY,Purchase,Retail,Savings,"Barkerstad, Nebraska",2025-05-31 06:05:00,False,455.38434380535284,Low
3160.211718661201,EUR,Deposit,Restaurant,Investment,"Thompsonborough, Idaho",2024-09-22 08:36:04,False,479.8045866364996,Low
5122.328477925575,JPY,Transfer,Entertainment,Checking,"Marktown, Tennessee",2025-09-12 14:51:56,False,589.91760014806,Very High
4334.593699537061,JPY,Refund,Restaurant,Investment,"South Thomasstad, Alaska",2025-07-08 23:39:59,False,427.87746303426985,Medium
8699.897570270357,GBP,Withdrawal,Retail,Savings,"Jasonchester, Vermont",2025-01-01 18:27:09,False,766.0822707367332,Very High
594.5256980136201,GBP,Transfer,Gas Station,Investment,"Port Andrea, California",2025-03-30 05:40:42,False,452.07284388999193,High
2678.0121303682654,EUR,Deposit,Retail,Checking,"North Craig, Alabama",2025-07-18 16:19:03,False,308.2004916195114,Very High
2397.777081269862,USD,Deposit,Retail,Credit,"Markhaven, Rhode Island",2025-02-11 23:26:09,False,838.574655023212,Very High
4149.564554990382,GBP,Transfer,Gas Station,Credit,"North Roger, New Jersey",2025-05-05 12:35:41,False,449.7779557144198,Very High
2383.1592428257254,EUR,Withdrawal,Travel,Savings,"Port Jeffreyport, Mississippi",2025-07-06 02:14:25,False,349.9178609953821,Low
5202.643783137189,GBP,Transfer,Education,Credit,"Powersbury, Idaho",2025-09-16 09:43:03,False,677.1177041490945,Low
6749.39775864787,USD,Fee,Travel,Checking,"South Karen, Michigan",2024-12-01 12:34:12,False,490.0883300807814,Very High
8658.415131116775,USD,Refund,Retail,Credit,"Tammyton, Pennsylvania",2024-10-25 10:53:05,False,357.1692635344946,Very High
9242.665249634723,USD,Deposit,Retail,Investment,"South Jacobshire, Florida",2025-07-11 17:53:39,False,324.7464164278705,High
9313.494708886326,GBP,Refund,Entertainment,Credit,"North Robert, New Hampshire",2024-12-18 19:38:49,False,592.7130919214587,High
6316.673207644005,USD,Purchase,Online,Checking,"Lake Danielbury, South Carolina",2025-06-15 05:10:47,False,440.1312260990279,Medium
2063.568198249971,GBP,Fee,Restaurant,Investment,"Kristaburgh, Arizona",2024-11-14 08:26:48,False,830.5832757817387,Low
7407.938336228123,EUR,Payment,Online,Credit,"Lake Renee, California",2025-08-30 19:21:07,False,577.3210915939832,Medium
7735.897013575122,JPY,Withdrawal,Gas Station,Credit,"Port John, Rhode Island",2024-12-24 06:37:10,False,714.9712626836617,High
5598.1712287000155,JPY,Purchase,Healthcare,Credit,"Anitaland, New York",2025-07-01 00:57:44,False,444.93894751462926,Very High
8964.166551482185,EUR,Refund,Healthcare,Credit,"Richardsland, Nebraska",2025-08-30 06:56:26,False,374.3477400291927,Low
8704.314651259274,EUR,Refund,Restaurant,Investment,"East Holly, Massachusetts",2024-12-04 05:08:35,False,430.98924311356143,Medium
8526.604200592436,JPY,Deposit,Restaurant,Savings,"Melissamouth, Vermont",2024-11-25 23:03:14,False,842.7856938412415,Medium
5450.6780368503405,EUR,Deposit,Education,Investment,"South Michael, Michigan",2024-09-30 11:56:19,False,794.8031832803698,Low
4650.274540295723,USD,Payment,Gas Station,Checking,"Jefferymouth, West Virginia",2025-06-02 19:53:17,False,443.2504878925904,Low
8286.277797085859,EUR,Refund,Travel,Investment,"Jacksonton, Nevada",2025-05-04 01:21:45,False,408.30031137197375,Low
1126.4517316498107,USD,Refund,Retail,Credit,"South Pamelaland, Nevada",2025-01-17 02:58:06,False,656.923314685883,Medium
549.5632956060283,JPY,Withdrawal,Entertainment,Investment,"North Alantown, Oklahoma",2025-09-08 12:31:06,False,422.51443066582414,High
6638.108474866461,USD,Fee,Healthcare,Credit,"Robinsonside, Indiana",2025-01-01 22:40:07,False,333.0802084103481,Very High
4002.50342147751,USD,Withdrawal,Online,Checking,"Maryshire, Oregon",2025-07-31 02:33:27,False,650.957301217281,Very High
318.00626475015565,JPY,Deposit,Retail,Investment,"North Jason, Virginia",2025-02-15 16:32:05,False,567.9605088680155,Very High
2904.3327135594377,GBP,Withdrawal,Healthcare,Savings,"Scottville, Maine",2024-11-08 19:52:34,False,559.6572164397688,Medium
235.81888741753895,USD,Withdrawal,Retail,Savings,"Amberstad, Tennessee",2025-08-01 00:55:59,True,394.68971553043906,Very High
9251.185838561998,JPY,Payment,Travel,Checking,"Combsville, Rhode Island",2025-04-26 10:12:15,False,420.265924113703,Very High
7642.058649780607,GBP,Transfer,Education,Investment,"North Lindamouth, Indiana",2025-08-31 14:11:37,False,740.9224143026523,High
4243.949238152909,GBP,Withdrawal,Education,Credit,"East Donnaton, Vermont",2025-01-18 11:38:55,False,308.0667896825487,Low
8266.972862849247,USD,Fee,Healthcare,Investment,"Tammyland, Wyoming",2024-12-28 00:44:25,False,370.8889825231821,Very High
1179.6924234657058,GBP,Fee,Retail,Checking,"New Vincentberg, Missouri",2024-09-29 14:53:35,False,321.65935408661886,Medium
8335.888066947291,EUR,Payment,Entertainment,Credit,"Port Jason, Alaska",2025-08-25 03:29:40,False,824.9085550513653,Very High
7132.881479612496,GBP,Withdrawal,Online,Checking,"Laurietown, New Hampshire",2025-05-29 21:26:51,False,359.9423068500004,Very High
4203.33775879056,EUR,Deposit,Entertainment,Credit,"Port Samantha, Ohio",2025-02-05 15:00:28,False,339.15351366350876,Low
7302.451850543625,USD,Fee,Entertainment,Credit,"South Julieport, Louisiana",2024-12-10 03:47:42,False,528.185835876393,Very High
1625.3114757934861,USD,Refund,Entertainment,Credit,"Brooksville, Kansas",2025-06-01 09:27:38,False,468.80266133150104,Very High
4381.154184709092,USD,Purchase,Gas Station,Savings,"Port Ryanfort, Delaware",2025-01-13 15:03:00,False,405.44799228096906,Very High
7360.381415498134,USD,Payment,Gas Station,Investment,"Lake Christineburgh, Oregon",2024-10-04 08:59:02,False,611.7459632492698,High
7839.595246599583,EUR,Payment,Gas Station,Credit,"New Derrickville, Kentucky",2025-09-03 01:26:49,False,398.6189674100935,Medium
4473.469726962392,USD,Refund,Travel,Savings,"Hendricksfurt, Nevada",2025-07-06 14:42:08,False,567.6705523393473,High
3584.1226301820066,GBP,Withdrawal,Education,Savings,"Coletown, Arizona",2024-10-20 19:21:24,False,551.2558357677835,Low
5705.1049800929995,USD,Fee,Retail,Investment,"Port Wesleystad, Nevada",2025-01-16 19:00:40,False,337.2806660121711,Medium
6287.912396805674,JPY,Deposit,Gas Station,Savings,"Julieberg, Massachusetts",2025-08-15 16:19:43,False,360.1490887171427,Low
6103.556764395665,EUR,Deposit,Restaurant,Savings,"Kevinmouth, New Jersey",2025-08-29 05:29:02,False,737.5103987430061,Low
9005.738381197303,USD,Transfer,Online,Savings,"New Kristenmouth, Tennessee",2025-02-02 06:42:49,False,801.2763571872756,Medium
6665.5519572423755,USD,Transfer,Retail,Savings,"South Timothy, Idaho",2025-04-04 10:13:38,False,845.0545633411709,Low
684.0958798466287,GBP,Deposit,Healthcare,Checking,"East David, New Hampshire",2025-06-19 21:12:44,False,445.91285218800255,Very High
9556.359604156563,GBP,Deposit,Travel,Checking,"New Louishaven, Minnesota",2024-11-29 15:13:28,False,732.0337760889674,Very High
5161.31121883402,JPY,Fee,Restaurant,Savings,"West William, Kentucky",2025-03-29 23:16:38,False,826.4967471933755,Low
9313.536031131684,JPY,Deposit,Restaurant,Investment,"Lake Melanieshire, Connecticut",2025-03-23 06:37:12,False,454.51469319795535,High
8035.239231617629,USD,Deposit,Retail,Savings,"Lake Rubenton, Wyoming",2024-10-10 07:08:18,False,798.179232154787,High
3104.767505262528,EUR,Deposit,Education,Investment,"South Katherineview, Mississippi",2025-04-28 02:27:32,False,633.5625350675518,High
2082.1277263890843,USD,Withdrawal,Gas Station,Checking,"Rossfurt, Wyoming",2024-09-19 17:36:22,False,845.5569721071464,Low
2483.602028835149,EUR,Deposit,Entertainment,Savings,"New Justinhaven, Virginia",2025-06-22 01:48:19,False,785.9356277682162,Medium
3839.68295676168,USD,Transfer,Education,Credit,"South Renee, Nevada",2025-01-28 23:09:04,False,795.6809578279143,High
9521.14946279062,JPY,Purchase,Retail,Credit,"Lake William, Washington",2025-05-25 18:56:16,False,351.9235317194491,High
6461.091371999932,JPY,Deposit,Healthcare,Checking,"Lake Jillianborough, Iowa",2025-06-05 16:03:18,False,608.0114236681629,Medium
7743.806566128436,USD,Withdrawal,Healthcare,Savings,"Jefferystad, Idaho",2025-03-21 23:33:31,False,552.8144583666656,Medium
6199.139179188299,JPY,Payment,Education,Investment,"Lewisborough, Wisconsin",2025-02-02 17:21:24,False,764.5620217227439,High
9432.06054196696,EUR,Fee,Education,Credit,"Jonesville, Missouri",2025-04-01 02:31:20,False,799.1068768940627,Medium
7881.547886123149,GBP,Deposit,Online,Checking,"South Christina, Ohio",2024-11-26 10:36:47,False,361.8885552332369,Low
5409.900651017157,EUR,Refund,Online,Savings,"Lake Craig, Washington",2025-02-02 04:10:31,False,671.3882270527166,Medium
2175.098236693064,GBP,Payment,Restaurant,Savings,"North Christopher, Missouri",2025-09-05 15:59:49,False,615.8531952206539,Low
4559.829878932311,EUR,Transfer,Gas Station,Credit,"Lake David, South Carolina",2025-07-11 10:28:11,False,309.1284978624573,Medium
3491.4516725355766,EUR,Transfer,Online,Checking,"North Luisstad, Illinois",2024-12-07 10:03:34,False,629.5696826056704,High
7487.381207155499,GBP,Fee,Restaurant,Investment,"Bonnieport, North Carolina",2024-12-20 21:24:37,False,749.5669993109732,Low
6746.989471973716,USD,Deposit,Travel,Credit,"Lake Amy, Ohio",2024-10-22 16:36:50,False,359.6210331364863,Very High
5379.15276555478,GBP,Refund,Retail,Investment,"Davisshire, Georgia",2025-02-11 14:53:35,False,647.4432656944763,Low
8880.712957673879,USD,Withdrawal,Gas Station,Credit,"Schmidtstad, Washington",2025-07-27 22:31:27,True,471.11995171529895,Medium
3742.2060092124107,GBP,Fee,Entertainment,Checking,"North Clifford, Massachusetts",2025-01-24 15:32:40,False,429.34627208771803,High
5397.414630025848,EUR,Transfer,Travel,Investment,"Kellyfurt, Arkansas",2025-06-03 12:18:55,False,784.4937216779607,Low
6430.677089586603,GBP,Withdrawal,Education,Savings,"South Victor, Oregon",2025-05-29 02:59:38,False,621.4599583600785,Very High
2819.8108829781736,EUR,Withdrawal,Online,Credit,"Ryanland, Alabama",2025-02-08 21:41:53,False,334.11536068161286,Very High
4216.260139876758,JPY,Withdrawal,Education,Savings,"Sarachester, California",2025-02-18 11:44:43,False,302.0710443340569,High
1121.0408448656003,JPY,Payment,Entertainment,Investment,"New Fernandoside, New Mexico",2025-07-25 06:51:22,False,501.32067438351197,Medium
3228.1744193130185,GBP,Deposit,Entertainment,Checking,"Batesberg, South Dakota",2025-07-04 12:38:40,False,767.02776003905,Very High
6176.8767437706165,JPY,Transfer,Restaurant,Savings,"West Marilyn, Oregon",2024-12-12 17:51:00,False,432.1511470886776,Medium
1528.6181311989455,JPY,Withdrawal,Education,Credit,"Gibsonmouth, Utah",2025-07-21 08:21:58,False,375.10868627869553,High
5596.141264103188,JPY,Purchase,Travel,Savings,"Lake Benjamin, Utah",2025-04-21 23:40:30,False,539.3390877052707,High
183.22149656922335,EUR,Fee,Restaurant,Credit,"South Nicole, New Jersey",2024-11-23 08:50:03,False,531.9269085847365,High
2966.3887879907725,USD,Fee,Travel,Investment,"Baileyland, Rhode Island",2025-06-20 06:28:28,False,607.4370389437775,Very High
3260.503805879357,JPY,Payment,Online,Savings,"Wernerport, Nevada",2024-12-13 21:22:49,False,420.78109309089575,High
