feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target,age,gender,education_level,income_range,experiment_group,response_time_ms,accuracy
2.7094769866825383,-6.609008541579527,1.440080114742569,-0.11215671900983468,1.4207390659294639,0.611585554422598,-1.6269093095147096,-3.366536102609547,0.09326450706528819,-0.03277637471676702,2,30-50,Other,Bachelor,Low,Treatment A,580.3282072081913,0.7475603385356318
0.5378537278046739,3.344918367331286,-2.0704076023236397,-0.8891148795657695,0.5113021789151319,-0.6196575188398171,2.8615517827686032,1.2541596117118299,2.4871852966839763,-1.8028356380861579,1,50-70,M,Bachelor,Medium,Treatment B,473.7593134368582,0.6589399004558354
1.8266304092909722,-3.566171536051049,0.2916900659674576,1.652324024439627,1.9488630998272978,0.8558588509503597,-1.460433434811106,-1.2960628471466589,1.1909435183981771,-1.3489893435400668,1,50-70,F,High School,Medium,Control,465.44759009136743,0.6503689063665377
-0.8475649136628516,0.47128436167809545,0.030097537775179484,-4.423659770632449,-3.89378989127038,-3.975679029044944,1.163859237500696,0.8637302714416131,-2.5010242231794395,1.7938299111208047,1,30-50,Other,Master,Medium,Control,531.6350532307736,0.6372768129743682
-2.0840957980023584,2.905050198565914,-4.127424627155391,2.1081808337915477,3.4235831246998494,-3.954137379802299,4.561901342785239,3.1739399594691267,0.8527539288786191,-0.06629775864834955,2,30-50,M,PhD,Medium,Treatment B,708.842371903744,0.9361214837551519
0.5103589858300634,3.998509234219655,3.43729612383252,-7.942194455487362,-2.382753685785911,2.2021128664768037,-2.9043967670074884,1.217462103943059,2.2638955752244803,3.958165839135998,2,70+,Other,PhD,Low,Treatment A,503.16793274198943,0.7023818436584334
-0.06954419678864182,-2.3111669115070943,-0.34722331495525643,3.5883402863104976,1.723875729002848,1.6022435720988417,-0.44234998090318434,-1.8611789462126749,-0.2380926306238684,-0.43187378352044076,1,50-70,Other,High School,Low,Control,454.49897645161667,0.6609168973401066
-2.9778851086353733,0.9112872941732929,-2.5505330649862334,8.085288292315564,3.912584072227626,-0.1200976025332782,0.31555441064798573,1.5564815982025046,2.1968338990371894,-4.0554698164126775,1,30-50,F,High School,Medium,Treatment B,417.1996873946222,0.7713111198734613
-0.19804656693407435,-0.47321326758291093,1.760664133497041,-0.9905073946745891,-2.144029215204845,0.3428958382794715,-1.8622206825608878,-0.23007475645043857,0.10182173825572399,-1.220945787651756,0,<30,M,High School,Low,Treatment B,618.1344164565251,0.5946374909476955
0.7861905700815337,0.9855277534970823,-2.205292098231763,4.149651762092697,1.6907463730398353,1.8136573370895317,1.3490724357815038,0.41793875266976793,-0.4262375904904999,-1.4811284340347612,1,<30,Other,Bachelor,Low,Control,556.8700519929627,0.7535408710966656
-0.6882942678047841,2.2549908261193146,1.7200443353147223,1.1117742095967502,0.657568647328377,0.7052395698270267,0.031218428269969678,2.316306978161367,-1.6295386980350874,0.018756923251513895,0,50-70,Other,Bachelor,Low,Treatment B,461.4065047619189,0.8800618028468071
0.5655742064863274,0.9486041665187026,-1.6424023929527451,0.7088025175927928,-3.7343969656313685,-1.1618750133944642,-0.5686816782812494,2.787827017231556,-3.639567389538719,0.4056727169328071,1,50-70,F,Master,Medium,Treatment A,560.3350339191252,0.785305334398089
